sample,Replicate,Date,Site,Diver,MaxDepth,TimeofCollection_localtime,BottomExposureTime_minutes,TransportTime,Latitiude,Longitude,EcologicalNotes,ProcessingNotes,,DiversKey
BRPF-117,,10.02.2022,Punta Norte (Isla Las Animas),D3,78,8:00,70,1 hour,25 06.962,-110 30.639,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-118,,10.02.2022,Punta Norte (Isla Las Animas),D4,95,8:00,72,1 hour,25 06.962,-110 30.639,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-119,,10.02.2022,Punta Norte (Isla Las Animas),blank,,8:00,,1 hour,25 06.962,-110 30.639,,,,
BRPF-120,,10.02.2022,Arrecife Este (Isla Las Animas),D1,91,11:00,67,40 min,25 06.781,-110 30.441,,"filter paper was super thick, didn't seem to be two filters, filter just barely fit in test tube, puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-121,,10.02.2022,Arrecife Este (Isla Las Animas),D2,103,11:00,67,40 min,25 06.781,-110 30.441,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-122,,10.02.2022,Arrecife Este (Isla Las Animas),D3,90,11:00,67,40 min,25 06.781,-110 30.441,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-123,,10.02.2022,Arrecife Este (Isla Las Animas),D4,103,11:00,69,40 min,25 06.781,-110 30.441,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-124,,10.02.2022,Arrecife Este (Isla Las Animas),blank,,11:00,,40 min,25 06.781,-110 30.441,,,,
BRPF-125,,10.02.2022,Sea Lion Rock/La Cueva/The Cave (Isla Las Animas),D1,68,16:00,59,40 min,25 06.909,-110 30.626,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-126,,10.02.2022,Sea Lion Rock/La Cueva/The Cave (Isla Las Animas),D2,80,16:00,71,40 min,25 06.909,-110 30.626,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-127,,10.02.2022,Sea Lion Rock/La Cueva/The Cave (Isla Las Animas),D3,60,16:00,69,40 min,25 06.909,-110 30.626,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-128,,10.02.2022,Sea Lion Rock/La Cueva/The Cave (Isla Las Animas),D4,98,16:00,70,40 min,25 06.909,-110 30.626,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-129,,10.02.2022,Sea Lion Rock/La Cueva/The Cave (Isla Las Animas),blank,,16:00,,40 min,25 06.909,-110 30.626,,,,
BRPF-130,,10.03.2022,Los Islotes Cave,D1,42,8:00,62,1 hour 15 min,24 35.839,-110 24.157,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-131,,10.03.2022,Los Islotes Cave,D2,56,8:00,61,1 hour 15 min,24 35.839,-110 24.157,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-132,,10.03.2022,Los Islotes Cave,D3,52,8:00,63,1 hour 15 min,24 35.839,-110 24.157,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-133,,10.03.2022,Los Islotes Cave,D4,61,8:00,62,1 hour 15 min,24 35.839,-110 24.157,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-134,,10.03.2022,Los Islotes Cave,blank,,8:00,,1 hour 15 min,24 35.839,-110 24.157,,,,
BRPF-135,,10.03.2022,Los Islotes Arch,D1,61,11:00,64,1 hour 30 min,24 35.95,-110 24.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-136,,10.03.2022,Los Islotes Arch,D2,82,11:00,62,1 hour 30 min,24 35.95,-110 24.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-137,,10.03.2022,Los Islotes Arch,D3,52,11:00,63,1 hour 30 min,24 35.95,-110 24.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-138,,10.03.2022,Los Islotes Arch,D4,67,11:00,64,1 hour 30 min,24 35.95,-110 24.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-139,,10.03.2022,Los Islotes Arch,blank,,11:00,,1 hour 30 min,24 35.95,-110 24.02,,,,
BRPF-140,,10.03.2022,Roca Tintorera (La Partida Island),D1,33,16:00,63,1 hour,24 34.334,-110 24.860,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-141,,10.03.2022,Roca Tintorera (La Partida Island),D2,55,16:00,62,1 hour,24 34.334,-110 24.860,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-142,,10.03.2022,Roca Tintorera (La Partida Island),D3,63,16:00,63,1 hour,24 34.334,-110 24.860,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-143,,10.03.2022,Roca Tintorera (La Partida Island),D4,73,16:00,67,1 hour,24 34.334,-110 24.860,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-144,,10.03.2022,Roca Tintorera (La Partida Island),blank,,16:00,,1 hour,24 34.334,-110 24.860,,,,
BRPF-145,,10.03.2022,Ensenada Grande / Mobula Dive Night Dive,D1,20,20:00,50,45 min,24 33.590,-110 23.869,MOBULAS! ,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-146,,10.03.2022,Ensenada Grande / Mobula Dive Night Dive,D2,20,20:00,51,45 min,24 33.590,-110 23.869,BALLOONFISH!,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-147,,10.03.2022,Ensenada Grande / Mobula Dive Night Dive,D3,21,20:00,49,45 min,24 33.590,-110 23.869,SKATES!,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-148,,10.03.2022,Ensenada Grande / Mobula Dive Night Dive,D4,20,20:00,35,45 min,24 33.590,-110 23.869,JACKS! ,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-149,,10.03.2022,Ensenada Grande / Mobula Dive Night Dive,blank,,20:00,,45 min,24 33.590,-110 23.869,,,,
BRPF-150,,10.04.2022,Arecife del Pardito (near Isla Coyote),D1,33,8:00,63,52 min,24 51.217,-110 34.704,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-151,,,,,,,,,,,,,,
BRPF-152,,,,,,,,,,,,,,
BRPF-153,,,,,,,,,,,,,,
BRPF-154,,,,,,,,,,,,,,
BRPF-155,,,,,,,,,,,,,,
BRPF-156,,,,,,,,,,,,,,
BRPF-157,,,,,,,,,,,,,,
BRPF-158,,,,,,,,,,,,,,
BRPF-159,,,,,,,,,,,,,,
BRPF-160,,,,,,,,,,,,,,
BRPF-161,,,,,,,,,,,,,,
BRPF-162,,ORIGINAL HARD COPY OF eDNA SURVEY SHEET WAS STAPLED IN THE WRONG ORDER AND I DID NOT NOTICE UNTIL I HAD LABELED VIALS. NO VIALS ARE LABELED WITH THESE NUMBERS; VIALS GO FROM BRPF - 150 TO BRPF - 181.,,,,,,,,,,,,
BRPF-163,,,,,,,,,,,,,,
BRPF-164,,,,,,,,,,,,,,
BRPF-165,,,,,,,,,,,,,,
BRPF-166,,,,,,,,,,,,,,
BRPF-167,,,,,,,,,,,,,,
BRPF-168,,,,,,,,,,,,,,
BRPF-169,,,,,,,,,,,,,,
BRPF-170,,,,,,,,,,,,,,
BRPF-171,,,,,,,,,,,,,,
BRPF-172,,,,,,,,,,,,,,
BRPF-173,,,,,,,,,,,,,,
BRPF-174,,,,,,,,,,,,,,
BRPF-175,,,,,,,,,,,,,,
BRPF-176,,,,,,,,,,,,,,
BRPF-177,,,,,,,,,,,,,,
BRPF-178,,,,,,,,,,,,,,
BRPF-179,,,,,,,,,,,,,,
BRPF-180,,,,,,,,,,,,,,
BRPF-181,,10.04.2022,Arecife del Pardito (near Isla Coyote),D2,36,8:00,72,52 min,24 51.217,-110 34.704,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-182,,10.04.2022,Arecife del Pardito (near Isla Coyote),D3,59,8:00,71,52 min,24 51.217,-110 34.704,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-183,,10.04.2022,Arecife del Pardito (near Isla Coyote),D4,33,8:00,73,52 min,24 51.217,-110 34.704,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-184,,10.04.2022,Arecife del Pardito (near Isla Coyote),blank,,8:00,,52 min,24 51.217,-110 34.704,,,,
BRPF-185,,10.04.2022,La Lobera (Isla de San Francisquito),D1,55,11:00,72,1 hour,24 50.569,-110 36.317,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-186,,10.04.2022,La Lobera (Isla de San Francisquito),D2,59,11:00,72,1 hour,24 50.569,-110 36.317,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-187,,10.04.2022,La Lobera (Isla de San Francisquito),D3,59,11:00,71,1 hour,24 50.569,-110 36.317,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-188,,10.04.2022,La Lobera (Isla de San Francisquito),D4,55,11:00,70,1 hour,24 50.569,-110 36.317,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-189,,10.04.2022,La Lobera (Isla de San Francisquito),blank,,11:00,,1 hour,24 50.569,-110 36.317,,,,
BRPF-190,,10.04.2022,Cayo Island,D1,45,16:00,75,45 min,24 52.389,-110 36.186,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-191,,10.04.2022,Cayo Island,D2,37,16:00,71,45 min,24 52.389,-110 36.186,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-192,,10.04.2022,Cayo Island,D3,46,16:00,70,45 min,24 52.389,-110 36.186,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-193,,10.04.2022,Cayo Island,D4,64,16:00,70,45 min,24 52.389,-110 36.186,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-194,,10.04.2022,Cayo Island,blank,,16:00,,45 min,24 52.389,-110 36.186,,,,
BRPF-195,,10.05.2022,Swanne / Suwannee Reef / Swanee River,D1,37,7:30,71,50 min,24 23.386,-110 18.608,super abundant amount of snapping shrimp,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-196,,10.05.2022,Swanne / Suwannee Reef / Swanee River,D2,28,7:30,71,50 min,24 23.386,-110 18.608,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-197,,10.05.2022,Swanne / Suwannee Reef / Swanee River,D3,33,7:30,72,50 min,24 23.386,-110 18.608,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-198,,10.05.2022,Swanne / Suwannee Reef / Swanee River,D4,34,7:30,72,50 min,24 23.386,-110 18.608,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-199,,10.05.2022,Swanne / Suwannee Reef / Swanee River,blank,,7:30,,50 min,24 23.386,-110 18.608,,,,
BRPF-200,,10.05.2022,La Reina,D1,66,12:00,57,45 min,24 26.05,-109 58.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-201,,10.05.2022,La Reina,D2,65,12:00,72,45 min,24 26.05,-109 58.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-202,,10.05.2022,La Reina,D3,69,12:00,73,45 min,24 26.05,-109 58.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-203,,10.05.2022,La Reina,D4,69,12:00,72,45 min,24 26.05,-109 58.02,,"puck was put on diver on the main boat before dive, plastic bag was wrapped around puck on the main boat to keep sterile, plastic bag was removed on panga before dive, the same plastic bag was used to put puck in after the dive on the panga",,
BRPF-204,,10.05.2022,La Reina,blank,,12:00,,45 min,24 26.05,-109 58.02,,,,
